"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7491","TC-03 Verify Account API Returns 200","chromium","2026-06-13","passed","2026-06-13","","API\accountsAPI.spec.ts","",""
"","9872","TC-12 : Verify Balance Difference After Transfer via API","chromium","2026-06-13","passed","2026-06-13","","hybrid\balanceDifferenceValidation.spec.ts","",""
"","3554","TC-04 Verify Account Type Exists","chromium","2026-06-13","passed","2026-06-13","","API\accountsAPI.spec.ts","",""
"","3396","TC - 01 : Register and Create Savings Account (UI)","chromium","2026-06-13","passed","2026-06-13","","UI\openAccount.spec.ts","",""
"","2321","TC-15 Transfer Funds Without Amount","chromium","2026-06-13","passed","2026-06-13","","UI\transferNegative.spec.ts","",""
"","10273","TC-11 : Transfer Funds via UI and Validate via API","chromium","2026-06-13","passed","2026-06-13","","hybrid\transferFundsValidation.spec.ts","",""
"","7385","TC-09 Verify Destination Account Balance Update","chromium","2026-06-13","passed","2026-06-13","","UI\balanceValidation.spec.ts","",""
"","4171","TC-05 Verify Account Balance Exists","chromium","2026-06-13","passed","2026-06-13","","API\accountsAPI.spec.ts","",""
"","3750","TC-10 : Create Account via UI and Validate via API","chromium","2026-06-13","passed","2026-06-13","","hybrid\accountValidation.spec.ts","",""
"","1935","Register new user","chromium","2026-06-13","passed","2026-06-13","","UI\register.spec.ts","",""
"","4582","TC-06 : Transfer Funds Between Accounts & TC-07 : Verify Transfer Confirmation Message","chromium","2026-06-13","passed","2026-06-13","","UI\transferFunds.spec.ts","",""
"","4103","TC-PERF-01 Verify API Response Time","chromium","2026-06-13","passed","2026-06-13","","performanceLite\accountsPerformance.spec.ts","",""
"","3514","User can login successfully","chromium","2026-06-13","passed","2026-06-13","","UI\login.spec.ts","",""
"","3238","TC-PERF-02 Verify 20 Concurrent API Requests","chromium","2026-06-13","passed","2026-06-13","","performanceLite\accountsPerformance.spec.ts","",""
"","5940","TC-08 Verify Source Account Balance Update","chromium","2026-06-13","passed","2026-06-13","","UI\balanceValidation.spec.ts","",""
"","261","TC-14 Invalid Account API Request","chromium","2026-06-13","passed","2026-06-13","","API\negativeAccountsAPI.spec.ts","",""
"","1653","TC-13 : Verify Invalid Login Shows Error Message","chromium","2026-06-13","passed","2026-06-13","","UI\loginNegative.spec.ts","",""
"","3408","TC-02 Create Checking Account","chromium","2026-06-13","passed","2026-06-13","","UI\openAccount.spec.ts","",""
